,id,screen_name,location,protected,verified,followers_count,friends_count,listed_count,favourites_count,statuses_count,created_at,default_profile,default_profile_image
9258,2379032869,johnddial,,False,False,925,2609,49,224,684,Sat Mar 08 17:09:54 +0000 2014,True,False
7328,2834079473,Stormbornstudio,Italy,False,False,440,651,25,429,420,Thu Oct 16 13:40:03 +0000 2014,False,False
1299,902521988,MattCohenRR,"Los Angeles, CA",False,False,301,830,9,69,653,Wed Oct 24 20:10:30 +0000 2012,False,False
4617,1956490195,yankovz,Madrid,False,False,1343,4992,39,249,455,Sat Oct 12 11:30:56 +0000 2013,True,False
8299,570210925,RealWillLives,United Kingdom,False,False,69,275,0,48,808,Thu May 03 19:05:17 +0000 2012,False,False
3048,823911960739770368,RSinsurtech,Spain,False,False,603,2616,39,386,875,Tue Jan 24 15:14:53 +0000 2017,False,False
7762,112761368,BeLocally,"Salt Lake City, UT",False,False,649,853,29,55,1727,Tue Feb 09 16:35:38 +0000 2010,False,False
564,10606582,pedroj0s,"Madrid, Comunidad de Madrid",False,False,168,713,41,859,939,Mon Nov 26 12:43:21 +0000 2007,False,False
7717,3187158993,LegalhackersBCN,Barcelona,False,False,1517,2306,56,483,700,Mon Apr 20 13:49:51 +0000 2015,False,False
10149,2880308279,_sadstorm_,earth,False,False,115,892,0,10705,767,Mon Nov 17 01:25:33 +0000 2014,False,False
7649,3223992840,SWSaintBrieuc,"Saint-Brieuc, France",False,False,998,2528,90,492,1835,Sat May 23 08:20:19 +0000 2015,False,False
1406,4033160421,a_pianpanya,"Ile-de-France, France",False,False,489,695,101,2535,1198,Sat Oct 24 17:56:54 +0000 2015,False,False
10804,450782514,Jedelap,Bogota,False,False,271,658,2,362,974,Fri Dec 30 17:09:55 +0000 2011,False,False
11552,344103364,pablogt91,"Madrid, Comunidad de Madrid",False,False,181,141,1,143,1097,Thu Jul 28 15:09:57 +0000 2011,False,False
6637,15622396,Inpersonalio,In the Internet,False,False,211,668,16,5463,724,Sun Jul 27 18:33:29 +0000 2008,False,False
6428,117734261,hansmelo,Berlin ,False,False,464,1843,10,595,425,Fri Feb 26 12:49:44 +0000 2010,False,False
8094,243011160,jaumeatw,"Barcelona, Spain",False,False,187,433,19,622,1669,Wed Jan 26 02:57:05 +0000 2011,False,False
7609,2965171331,DigitalGirlInc,"Brooklyn, NY",False,False,393,794,47,81,1686,Tue Jan 06 23:45:37 +0000 2015,True,False
5415,1446786284,AnthenOP,,False,False,37,248,2,26,456,Tue May 21 16:37:12 +0000 2013,True,False
1596,225066043,marcelinodmb,,False,False,239,525,3,133,750,Fri Dec 10 15:55:36 +0000 2010,False,False
29,89571795,juaningrassia,Buenos Aires,False,False,517,2409,11,1252,877,Thu Nov 12 23:36:57 +0000 2009,False,False
4190,16044232,MacusRomero,"Madrid, Spain",False,False,925,793,58,453,917,Fri Aug 29 16:40:53 +0000 2008,False,False
7143,468875185,PabloSnxz,,False,False,945,2322,28,5134,1479,Fri Jan 20 00:40:27 +0000 2012,False,False
